ObjectId,ogcfid,typ_opatreni,rok_realizace,delka,datum_exportu,GlobalID,SHAPE_Length
364,255,Stezka pro chodce a cyklisty (nedělená) - C9,2017,92.959999,2022/12/16 00:00:00+00,{FC8DBD42-FC45-47D4-ABA6-C79F82C95A0A},0.00126517867411157
365,221,Vyhrazený jízdní pruh pro cyklisty - V14,2010,55.689999,2022/12/16 00:00:00+00,{FEB457A3-A5BE-42A4-93C2-57C260AC57B5},0.000625057214283863
366,247,Stezka pro chodce a cyklisty (dělená) - C10,2013,147.74001,2022/12/16 00:00:00+00,{6731FE8B-DA86-47D2-BEE0-30E17AB4509D},0.00193910950385378
367,246,Vyhrazený jízdní pruh pro cyklisty - V14,2013,14.1,2022/12/16 00:00:00+00,{C6A9E8DB-CDF4-47C1-BF92-AD3FAC3E7D29},0.000184419404337065
368,245,Vyhrazený jízdní pruh pro cyklisty - V14,2013,33.400002,2022/12/16 00:00:00+00,{873767AB-CD19-4D0F-8122-40C33A6C345F},0.00042728000345972
369,238,Stezka pro chodce a cyklisty (nedělená) - C9,1999,274.85001,2022/12/16 00:00:00+00,{6B579777-D884-4C29-ADA3-844249FDE3DA},0.00365910313220631
370,236,Piktogramový koridor pro cyklisty - V20,2010,43.560001,2022/12/16 00:00:00+00,{8326C96C-9353-4F2A-B195-0ACBB44565E9},0.000580721188836038
371,235,Piktogramový koridor pro cyklisty - V20,2010,8.8599997,2022/12/16 00:00:00+00,{F4CCC1CC-C3E9-475C-A9FF-0DB7946BB0A1},0.000118011269101349
372,234,Piktogramový koridor pro cyklisty - V20,2010,201.14,2022/12/16 00:00:00+00,{4FD63B83-18FD-483C-B58E-9891CEFD0AF0},0.00264245471873706
373,233,Piktogramový koridor pro cyklisty - V20,2010,168.31,2022/12/16 00:00:00+00,{B1040C67-179F-4BBF-92A2-211359E95A65},0.00171092484221603
374,214,Vyhrazený jízdní pruh pro cyklisty - V14,2013,392.10999,2022/12/16 00:00:00+00,{320A0279-73A7-4DD1-8F4C-5F262EBC052A},0.00430269936136755
375,142,Jízda cyklistů v protisměru - E12,2013,184.08,2022/12/16 00:00:00+00,{EEDEE9A8-3C33-4BD7-8694-F6C62CB30086},0.00250228052780637
376,144,Jízda cyklistů v protisměru - E12,2015,35.919998,2022/12/16 00:00:00+00,{E54C2372-D289-41BE-A9E3-91A4F721BA11},0.00039863367904844
377,253,Ochranný jízdní pruh pro cyklisty,2018,403.81,2022/12/16 00:00:00+00,{36C7C3E6-3620-41B1-B453-CABE7D736ADB},0.00436210459452861
378,252,Ochranný jízdní pruh pro cyklisty,2018,62.27,2022/12/16 00:00:00+00,{81AC8CDC-4BBF-4E7B-B2BE-2C0F5EB48DD7},0.000647620582614011
379,220,Piktogramový koridor pro cyklisty - V20,2010,40.049999,2022/12/16 00:00:00+00,{C7FF38E1-D8CD-45AD-B90D-829886B8174A},0.000463076518897718
380,219,Piktogramový koridor pro cyklisty - V20,2010,38.18,2022/12/16 00:00:00+00,{3F2D99C9-B825-4ED0-A107-0D613677AD79},0.000423611526906552
381,215,Vyhrazený jízdní pruh pro cyklisty - V14,2013,244.60001,2022/12/16 00:00:00+00,{0A480E3C-9F0C-4B1B-BCE3-E43A05E8C5AB},0.00284611032760771
382,213,Piktogramový koridor pro cyklisty - V20,2013,31.26,2022/12/16 00:00:00+00,{77348F25-A949-4C72-A850-B656D7CD0F3F},0.000343134743491892
383,212,Stezka pro chodce a cyklisty (nedělená) - C9,2012,92.480003,2022/12/16 00:00:00+00,{016D28A8-2CBD-46B6-AFBD-D22A3CAEA900},0.00122033101722066
384,211,Stezka pro chodce a cyklisty (nedělená) - C9,2012,71.389999,2022/12/16 00:00:00+00,{D121E843-9B77-483C-818A-CBEA64B0302D},0.00093243941580376
385,210,Stezka pro chodce a cyklisty (dělená) - C10,2013,185.06,2022/12/16 00:00:00+00,{71197D89-AA4F-4C30-81EB-7BE8960D0664},0.00243274232162399
386,209,Stezka pro chodce a cyklisty (dělená) - C10,2010,278.79999,2022/12/16 00:00:00+00,{527C11A2-6166-4F58-980F-A8EB4298BA15},0.00356137469590105
387,208,Stezka pro cyklisty - C8,2010,347.73999,2022/12/16 00:00:00+00,{8593C371-2F58-4773-A363-51393C60542F},0.00448265020211035
388,207,Stezka pro chodce a cyklisty (dělená) - C10,2007,117.34,2022/12/16 00:00:00+00,{46B263A0-9ECF-45F3-B180-12C2766471FF},0.00158125980775383
389,206,Stezka pro chodce a cyklisty (dělená) - C10,2007,42.689999,2022/12/16 00:00:00+00,{323444E1-2499-4FE0-B895-502F11E93127},0.00056109165245868
390,205,Stezka pro chodce a cyklisty (nedělená) - C9,2010,159.7,2022/12/16 00:00:00+00,{F8DDFDBC-338A-49A2-B501-FA171F0C041E},0.00167012749929975
391,204,Stezka pro chodce a cyklisty (nedělená) - C9,2008,266.37,2022/12/16 00:00:00+00,{5DEC1977-1907-4ED7-82A9-CF129EE2227B},0.00328302442275912
392,170,Stezka pro chodce a cyklisty (nedělená) - C9,2006,94.5,2022/12/16 00:00:00+00,{60BEB43E-6F3A-4A1A-B0AF-F0AD8025E6D4},0.00118795795607662
393,167,Stezka pro cyklisty - C8,2010,22.870001,2022/12/16 00:00:00+00,{693039E9-EC77-4656-A04E-1B90BAABCF76},0.000287923236130966
394,169,Stezka pro chodce a cyklisty (nedělená) - C9,1999,684.21997,2022/12/16 00:00:00+00,{C765AF15-77C8-499E-94E2-95FDF50493C9},0.00689690939662994
395,119,Piktogramový koridor pro cyklisty - V20,2014,63.490002,2022/12/16 00:00:00+00,{E0617FA2-77A7-4CAB-BEA5-BE0CD4F3C2FF},0.000587370833288479
396,177,Stezka pro cyklisty - C8,2013,91.720001,2022/12/16 00:00:00+00,{5C8CB1F5-28AF-46E2-B426-01FB4D5A1819},0.00116492199868162
397,201,Stezka pro chodce a cyklisty (nedělená) - C9,2009,61.82,2022/12/16 00:00:00+00,{47F84A2D-044F-415D-8F9C-3F034735BB84},0.000800360015446788
398,198,Stezka pro chodce a cyklisty (nedělená) - C9,2004,127.01,2022/12/16 00:00:00+00,{F8E219A1-F3F4-4B10-BB93-002DC1709FEE},0.00139093422710239
399,193,Stezka pro chodce a cyklisty (nedělená) - C9,1997,277.12,2022/12/16 00:00:00+00,{4525DF20-AD3B-4BEB-B81B-4BED0CDBD074},0.0030564766781089
400,192,Stezka pro chodce a cyklisty (nedělená) - C9,1997,138.09,2022/12/16 00:00:00+00,{8A89925A-1954-4581-A082-C7C1C5A704BA},0.0014439769312373
401,191,Stezka pro chodce a cyklisty (nedělená) - C9,1997,70.709999,2022/12/16 00:00:00+00,{A19F61E8-3239-4AA6-B27D-19E938338B79},0.000725724118413862
402,190,Stezka pro chodce a cyklisty (nedělená) - C9,1997,119.12,2022/12/16 00:00:00+00,{DBAFF1E9-C86B-45AF-8B24-5BD43D5792F2},0.00119133499364626
403,189,Stezka pro chodce a cyklisty (nedělená) - C9,1997,135.42,2022/12/16 00:00:00+00,{D0A5201B-E961-47B7-95B5-DBE58D09FE52},0.0013240351774371
404,188,Stezka pro chodce a cyklisty (nedělená) - C9,1997,77.800003,2022/12/16 00:00:00+00,{B645CBAD-FD2B-4FBF-88BC-9C4C95B469B8},0.000757958332682053
405,187,Stezka pro chodce a cyklisty (nedělená) - C9,1997,103.95,2022/12/16 00:00:00+00,{01538FD6-CB10-469D-BF96-D67068D2F50A},0.0010116433923615
406,186,Stezka pro chodce a cyklisty (nedělená) - C9,1997,65.730003,2022/12/16 00:00:00+00,{CC6A7890-2172-4752-B8CC-12316E985EAE},0.000642949372445029
407,178,Stezka pro chodce a cyklisty (nedělená) - C9,2012,133.22,2022/12/16 00:00:00+00,{8BAF87C6-9715-48E5-A3FB-B0476DA0EF6C},0.00133228645996164
408,173,Stezka pro chodce a cyklisty (nedělená) - C9,2002,1325.28,2022/12/16 00:00:00+00,{A2990EEB-BC4F-4A4D-9824-5DC048B290F2},0.0120762540059995
